workerName,Gender,salary,CID
Trenton Malone,m,27028,129198085
Adrian Bowman,f,46293,998586926
Ethen Brandt,f,28167,238361635
Charlie Petersen,f,48742,331196517
Kieran Parsons,m,44017,823113981
Shamar Carroll,m,47928,503267361
Brooke Hunter,m,37708,318616057
Conor Higgins,m,44361,145155939
Juliana Harrington,f,47305,716959073
Casey Gordon,f,31724,595337786
Dennis Keith,f,36378,906327556
Kenzie Abbott,m,26715,879250622
Meadow Pope,m,41867,328745009
Tara Mora,f,28199,942760514
Salvador Durham,f,31431,68829037
Elisabeth Mays,m,49509,790491367
Hillary Middleton,f,37645,917489689
Amani Palmer,m,34161,329358209
Lana Cortez,m,25189,1484838
Amani Liu,m,34752,831136869
Lorelei Duarte,m,40599,414887697
Kasey Pope,m,29754,135092364
Kailey Crawford,m,45306,199291546
Clayton Vaughan,m,48975,665851092
Fletcher Hunt,m,40645,534366762
Noah Hutchinson,f,40497,328387155
Dax Knapp,m,45661,889617250
Corey Hogan,m,31461,922388519
Bryson Simpson,f,30610,261771346
Jairo Cuevas,m,33874,721475304
Cesar Murray,f,30402,669424353
Reagan Sampson,f,44146,108634512
Noelle James,m,48940,733874802
Keegan Jones,f,35565,367589971
Jaliyah Ritter,m,43384,657022520
Brady White,f,43871,521082400
Haylee Sosa,f,35132,470579967
Rudy Ferguson,m,40844,803212276
Madalynn Kim,f,30774,83019693
Spencer Shaffer,f,35401,398973892
Ezra Hines,f,40188,268529900
Dominique Russo,m,28597,100158818
Uriel Odonnell,m,31236,821692
Eli Case,f,45799,360117917
Alison Grimes,m,43623,595206199
Jake Gaines,m,29427,52133025
America Frazier,m,37673,704395850
Carley Beasley,m,32711,83485251
Fatima Mckay,f,46906,375775730
Kenya Dodson,f,28587,376959345
Chana Harris,m,40530,417006924
Rowan Casey,m,26075,482642071
Albert Fritz,m,48407,176272329
Tyshawn Carey,m,49251,805621422
Jaylah Thornton,f,45885,915270313
Amirah Melton,f,39261,841549068
Melany Arnold,f,28669,747973374
Kaeden Shepherd,m,47526,586347978
Anaya Carlson,f,47162,667817903
Isabell Klein,m,26712,475079556
Isabella Armstrong,f,43133,2958778
Haylie Valenzuela,m,30327,444602742
Emerson Davidson,m,43448,251777025
Oliver Cannon,m,43545,82367719
Cheyenne Hardin,m,27599,791874258
Amani Frost,f,46122,840182659
Zachery Pruitt,m,47860,23364993
Jay Adkins,f,49762,902289636
Lucille Pace,f,31858,251486233
Logan Khan,f,45170,784156017
Aliza Cox,f,29481,140691717
Summer Dunlap,m,29207,370440483
Reed Dougherty,f,37134,46990634
Rafael Bean,f,43348,16774262
Summer Saunders,f,41885,324249056
Tori Hobbs,m,30389,963551477
Amira Russo,f,41377,676978173
Jorden Krause,f,30350,215430511
Nora Mccall,f,36067,718141373
German Shaw,m,34263,901649005
Abby Weaver,f,49851,735704411
Finn Vance,m,46507,592522623
Mariam Underwood,f,47520,2230684
Raphael Maldonado,f,32838,708142454
Shyann Hinton,f,25773,515509270
Lillian English,f,41937,551147260
Andres Guerrero,m,35070,96515205
Osvaldo Preston,m,34404,971527654
Xiomara Romero,m,25821,20251323
Angelo Stevens,f,39808,284545031
Annabel Nixon,m,39160,206701288
Valerie Henson,m,47541,344594417
Jennifer Davies,m,29189,623523821
Aiyana Barry,m,28917,179034020
Lamar Hogan,m,29874,118166746
Emilee Michael,m,47504,263870401
Karina Herring,f,30753,307652215
Amari Mcmillan,f,30229,397884849
Jameson Leach,m,40795,927627731
Sonia Lane,m,32220,713402654
